epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1149.21,0.84979,0.85543,0.93782,0.76244,0.67123,0.71852,0.57859,0.74965,0.73585,0.9743,0.007327,0.007327,0.007327
56,1169.98,0.84962,0.82866,0.94351,0.7423,0.622,0.67931,0.55,0.76043,0.79407,0.98157,0.0072775,0.0072775,0.0072775
57,1190.76,0.8414,0.83315,0.94117,0.72769,0.6451,0.69664,0.56125,0.74947,0.7391,0.97455,0.007228,0.007228,0.007228
58,1211.54,0.83559,0.83211,0.9393,0.71413,0.65983,0.72094,0.58534,0.75524,0.7261,0.97487,0.0071785,0.0071785,0.0071785
59,1232.31,0.83339,0.82437,0.93636,0.68081,0.74915,0.72008,0.57717,0.76424,0.75576,0.98351,0.007129,0.007129,0.007129
60,1253.08,0.82888,0.8119,0.93746,0.62195,0.74559,0.71534,0.58034,0.76303,0.77137,0.97055,0.0070795,0.0070795,0.0070795
61,1273.82,0.82007,0.80852,0.92649,0.73508,0.76486,0.72626,0.58869,0.74013,0.72561,0.9733,0.00703,0.00703,0.00703
62,1294.59,0.83003,0.8002,0.93179,0.75279,0.69314,0.72481,0.58551,0.75093,0.71998,0.97127,0.0069805,0.0069805,0.0069805
63,1315.35,0.81937,0.81773,0.93428,0.69709,0.7377,0.68596,0.57127,0.74234,0.72444,0.97101,0.006931,0.006931,0.006931
64,1336.11,0.80497,0.77058,0.9235,0.73639,0.62712,0.69307,0.54984,0.7484,0.72538,0.98111,0.0068815,0.0068815,0.0068815
65,1356.86,0.82535,0.7803,0.93412,0.79359,0.66394,0.73114,0.58476,0.73635,0.69161,0.96681,0.006832,0.006832,0.006832
66,1377.65,0.80249,0.75607,0.92901,0.79121,0.68445,0.75896,0.60245,0.73951,0.74087,0.96944,0.0067825,0.0067825,0.0067825
67,1398.43,0.80402,0.76997,0.92503,0.72177,0.7805,0.74202,0.60066,0.73042,0.70563,0.96743,0.006733,0.006733,0.006733
68,1428.79,0.80312,0.78377,0.92344,0.67937,0.74493,0.73144,0.59804,0.7272,0.71027,0.96358,0.0066835,0.0066835,0.0066835
69,1449.59,0.7925,0.75273,0.92104,0.78806,0.6745,0.74414,0.60251,0.72967,0.66963,0.9641,0.006634,0.006634,0.006634
70,1486.1,0.80014,0.76426,0.9229,0.77275,0.73535,0.78529,0.65117,0.72574,0.7006,0.9725,0.0065845,0.0065845,0.0065845
71,1506.94,0.78608,0.76282,0.91867,0.77075,0.74807,0.75957,0.62088,0.73143,0.68497,0.97046,0.006535,0.006535,0.006535
72,1527.64,0.782,0.76733,0.92239,0.75184,0.77892,0.7351,0.59528,0.72144,0.69551,0.97256,0.0064855,0.0064855,0.0064855
73,1562.85,0.79626,0.76424,0.9225,0.76504,0.70564,0.72063,0.58436,0.72339,0.67586,0.97428,0.006436,0.006436,0.006436
74,1583.62,0.78322,0.74167,0.92375,0.69983,0.71445,0.73923,0.61693,0.72405,0.69196,0.96545,0.0063865,0.0063865,0.0063865
75,1619.98,0.79727,0.75126,0.92142,0.79472,0.67967,0.76823,0.6297,0.72885,0.68407,0.97463,0.006337,0.006337,0.006337
76,1640.7,0.76367,0.71785,0.91282,0.76848,0.70558,0.73187,0.59364,0.73609,0.665,0.98372,0.0062875,0.0062875,0.0062875
77,1661.44,0.79125,0.73251,0.91316,0.68727,0.7374,0.72725,0.58568,0.71413,0.66749,0.95989,0.006238,0.006238,0.006238
78,1682.23,0.78177,0.7102,0.91819,0.75902,0.71343,0.72184,0.59929,0.71988,0.69027,0.96938,0.0061885,0.0061885,0.0061885
79,1702.99,0.77768,0.73417,0.91257,0.76107,0.71108,0.75232,0.62722,0.70507,0.68742,0.95915,0.006139,0.006139,0.006139
80,1723.74,0.77832,0.71405,0.91508,0.82998,0.70543,0.76685,0.64366,0.74036,0.70024,0.97819,0.0060895,0.0060895,0.0060895
81,1744.5,0.77931,0.69418,0.91449,0.70813,0.72256,0.73387,0.59622,0.71782,0.6726,0.96966,0.00604,0.00604,0.00604
82,1765.25,0.7692,0.71473,0.91583,0.79029,0.76331,0.77419,0.63562,0.70201,0.6485,0.95344,0.0059905,0.0059905,0.0059905
83,1785.97,0.76861,0.70966,0.91482,0.72665,0.75668,0.74751,0.61717,0.71086,0.66311,0.95938,0.005941,0.005941,0.005941
84,1806.7,0.75637,0.68402,0.90699,0.74262,0.78935,0.72953,0.60462,0.72423,0.67485,0.96746,0.0058915,0.0058915,0.0058915
85,1827.47,0.77053,0.69344,0.91314,0.80408,0.76376,0.77071,0.6434,0.72391,0.66534,0.97393,0.005842,0.005842,0.005842
86,1848.18,0.7583,0.69299,0.90673,0.82536,0.70935,0.75617,0.62818,0.70672,0.65804,0.9643,0.0057925,0.0057925,0.0057925
87,1868.94,0.75063,0.71505,0.91581,0.7559,0.74809,0.76008,0.63272,0.70886,0.64516,0.96838,0.005743,0.005743,0.005743
88,1889.64,0.75643,0.70372,0.91139,0.76077,0.7265,0.72761,0.6103,0.70059,0.64495,0.95667,0.0056935,0.0056935,0.0056935
89,1910.4,0.74051,0.67584,0.90021,0.82246,0.74984,0.76282,0.62256,0.69722,0.66354,0.95927,0.005644,0.005644,0.005644
90,1931.15,0.73595,0.67844,0.90584,0.81519,0.66202,0.75371,0.6326,0.69601,0.63815,0.95888,0.0055945,0.0055945,0.0055945
91,1951.89,0.74207,0.68279,0.91537,0.71894,0.76321,0.73555,0.62129,0.69649,0.64296,0.96082,0.005545,0.005545,0.005545
92,1972.61,0.74098,0.67491,0.90771,0.68653,0.76099,0.73516,0.61155,0.69594,0.64863,0.95883,0.0054955,0.0054955,0.0054955
93,1993.4,0.74016,0.68691,0.90691,0.73691,0.76899,0.73815,0.60736,0.70683,0.67314,0.9655,0.005446,0.005446,0.005446
94,2014.16,0.72506,0.6574,0.90368,0.72517,0.74755,0.73724,0.61339,0.69127,0.64856,0.9561,0.0053965,0.0053965,0.0053965
95,2034.91,0.73162,0.66323,0.90093,0.73745,0.77363,0.75041,0.61657,0.68691,0.65193,0.95173,0.005347,0.005347,0.005347
96,2055.6,0.7403,0.66386,0.90736,0.82177,0.75327,0.76117,0.64049,0.68773,0.63622,0.95186,0.0052975,0.0052975,0.0052975
97,2076.2,0.73527,0.64849,0.89889,0.75451,0.78094,0.74021,0.61333,0.68465,0.63526,0.95025,0.005248,0.005248,0.005248
98,2096.95,0.71693,0.64093,0.8991,0.71152,0.77962,0.74561,0.61834,0.6973,0.66269,0.96079,0.0051985,0.0051985,0.0051985
99,2117.74,0.73297,0.64768,0.90307,0.75405,0.72056,0.76287,0.6278,0.69518,0.65892,0.95516,0.005149,0.005149,0.005149
100,2138.49,0.71332,0.63061,0.89579,0.78664,0.74443,0.74733,0.60905,0.70854,0.64119,0.96247,0.0050995,0.0050995,0.0050995
